uid,title,score,members,popularity,cluster,cluster_label,reason
28891,Haikyuu!! Second Season,8.82,489888,141,1,Mainstream / High Engagement,High members and concentrated popularity
23273,Shigatsu wa Kimi no Uso,8.83,995473,28,1,Mainstream / High Engagement,High members and concentrated popularity
34599,Made in Abyss,8.83,581663,98,1,Mainstream / High Engagement,High members and concentrated popularity
5114,Fullmetal Alchemist: Brotherhood,9.23,1615084,4,1,Mainstream / High Engagement,High members and concentrated popularity
31758,Kizumonogatari III: Reiketsu-hen,8.83,214621,502,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37510,Mob Psycho 100 II,8.89,442310,176,1,Mainstream / High Engagement,High members and concentrated popularity
199,Sen to Chihiro no Kamikakushi,8.9,913212,40,1,Mainstream / High Engagement,High members and concentrated popularity
38000,Kimetsu no Yaiba,8.92,575037,106,1,Mainstream / High Engagement,High members and concentrated popularity
35247,Owarimonogatari 2nd Season,8.93,189944,573,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2904,Code Geass: Hangyaku no Lelouch R2,8.93,992196,27,1,Mainstream / High Engagement,High members and concentrated popularity
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.94,395375,223,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34096,Gintama.,8.94,139309,800,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.95,135232,833,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
918,Gintama,8.97,579150,97,1,Mainstream / High Engagement,High members and concentrated popularity
4181,Clannad: After Story,8.97,740101,64,1,Mainstream / High Engagement,High members and concentrated popularity
15417,Gintama': Enchousen,8.98,166446,667,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
30276,One Punch Man,8.68,1475219,5,1,Mainstream / High Engagement,High members and concentrated popularity
16664,Kaguya-hime no Monogatari,8.28,99563,1106,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4672,Koukaku Kidoutai 2.0,8.06,72331,1457,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.88,33038,2428,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7588,Saraiya Goyou,7.86,61146,1650,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1253,Saint Seiya: Meiou Hades Meikai-hen,7.86,33453,2409,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
20767,Noragami OVA,7.86,200244,539,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1425,Lupin III: Part II,7.86,19405,3237,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",7.86,87716,1238,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
22673,Kuroko no Basket 2nd Season NG-shuu,7.86,38046,2263,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6862,K-On!: Live House!,7.86,102122,1082,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5680,K-On!,7.86,610222,90,1,Mainstream / High Engagement,High members and concentrated popularity
451,InuYasha Movie 3: Tenka Hadou no Ken,7.86,68407,1527,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9563,Hidamari Sketch x ☆☆☆ Specials,7.86,11600,4073,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
30364,Haikyuu!! Movie 2: Shousha to Haisha,7.86,27734,2698,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,7.86,20779,3141,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,7.86,11817,4041,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
27633,Gekkan Shoujo Nozaki-kun Specials,7.86,87789,1233,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.86,328860,297,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7.86,89612,1216,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
552,Digimon Adventure,7.86,274830,356,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1689,Byousoku 5 Centimeter,7.86,554071,108,1,Mainstream / High Engagement,High members and concentrated popularity
8609,Detective Conan OVA 10: Kid in Trap Island,7.86,12337,3969,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34944,Bungou Stray Dogs: Dead Apple,7.86,73839,1448,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
36214,Asagao to Kase-san.,7.86,33444,2426,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,7.86,33163,2435,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
36160,Yaoguai Mingdan 2nd Season,7.87,5238,5659,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,7.87,14326,3747,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2265,Transformers the Movie,7.87,11245,4133,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
11001,Toshokan Sensou: Kakumei no Tsubasa,7.87,16716,3495,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
39940,Shokugeki no Souma: Shin no Sara,7.87,162213,683,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
322,Paradise Kiss,7.87,122787,916,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38958,Manga de Wakaru! Fate/Grand Order,7.87,7545,4889,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4472,Lucky☆Star: Original na Visual to Animation,7.87,105307,1056,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
97,Last Exile,7.87,137273,810,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
468,Koukaku Kidoutai 2: Innocence,7.87,121133,929,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7645,Heartcatch Precure!,7.87,20414,3162,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3604,Hidamari Sketch x 365,7.87,24921,2855,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1491,Ginga Tetsudou 999,7.87,21402,3080,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
19319,Gundam Build Fighters,7.87,50399,1890,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1571,Ghost Hunt,7.87,172769,630,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35222,Gakuen Babysitters,7.87,94090,1171,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,7.87,8328,4732,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
269,Bleach,7.87,1002578,25,1,Mainstream / High Engagement,High members and concentrated popularity
30123,Akagami no Shirayuki-hime,7.87,336418,289,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32998,91 Days,7.87,340857,281,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
202,Wolf's Rain,7.88,238834,425,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5005,Tentai Senshi Sunred,7.88,17654,3391,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
18397,Shingeki no Kyojin OVA,7.88,222243,480,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3750,Maria-sama ga Miteru 4th,7.88,15994,3569,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,7.88,61280,1648,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7.88,181220,600,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35860,Karakai Jouzu no Takagi-san,7.88,235513,442,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3092,Junjou Romantica,7.88,169037,647,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.88,80237,1355,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37033,Emiya-san Chi no Kyou no Gohan,7.88,59944,1680,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
28999,Charlotte,7.88,734250,66,1,Mainstream / High Engagement,High members and concentrated popularity
388,Capeta,7.88,16485,3511,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9724,Break Blade 5: Shisen no Hate,7.88,48642,1934,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37985,Aggressive Retsuko (ONA) 2nd Season,7.88,29059,2645,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38435,Yao Shen Ji 3rd Season,7.89,3343,6783,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
20057,Space☆Dandy,7.89,216068,500,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1172,Slayers Try,7.89,42662,2090,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
397,Seikai no Senki II,7.89,18367,3331,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,7.89,45629,2014,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4080,Kyou kara Maou! 3rd Series,7.89,25570,2804,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
11887,Kokoro Connect,7.89,498307,135,1,Mainstream / High Engagement,High members and concentrated popularity
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.89,10497,4248,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
11135,Hybrid Child,7.89,48435,1942,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
13119,Hakuouki Movie 2: Shikon Soukyuu,7.89,15583,3615,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
29755,Haikyuu!! Movie 1: Owari to Hajimari,7.89,31962,2479,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
267,Gungrave,7.89,137057,812,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4872,Goku Sayonara Zetsubou Sensei,7.89,51621,1858,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3665,Ginga Eiyuu Densetsu Gaiden (1999),7.89,13321,3845,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37150,Douluo Dalu,7.89,8935,4566,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.89,34345,2372,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12403,Yuru Yuri♪♪,7.9,130757,859,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
39597,Sword Art Online: Alicization - War of Underworld,7.9,189943,568,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
15771,Saint☆Oniisan (Movie),7.9,56150,1753,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,36514,2298,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34745,Mahoujin Guruguru (2017),7.9,24706,2880,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),7.9,164671,670,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
253,Jungle wa Itsumo Hare nochi Guu,7.9,27536,2696,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12413,Jormungand,7.9,225965,464,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5630,Higashi no Eden,7.89,398780,214,1,Mainstream / High Engagement,High members and concentrated popularity
38816,Hello World,7.9,21295,3089,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
29787,Gochuumon wa Usagi Desu ka??,7.9,80268,1357,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.9,18602,3310,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37822,Douluo Dalu 2nd Season,7.9,5376,5587,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4447,Detective Conan Movie 12: Full Score of Fear,7.9,30226,2557,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1505,Detective Conan Movie 09: Strategy Above the Depths,7.9,31840,2476,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1472,City Hunter 3,7.9,11650,4061,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9465,Break Blade 4: Sanka no Chi,7.9,50594,1882,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7.91,344479,279,1,Mainstream / High Engagement,High members and concentrated popularity
38349,Wotaku ni Koi wa Muzukashii: Youth,7.91,45804,2026,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
17949,The Everlasting Guilty Crown,7.91,23109,2979,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12445,Tasogare Otome x Amnesia,7.91,270355,366,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1254,Saint Seiya,7.91,119599,939,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35073,Overlord II,7.91,443731,172,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
597,Neko no Ongaeshi,7.91,143647,774,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
569,Musekinin Kanchou Tylor,7.91,32091,2462,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
19111,Love Live! School Idol Project 2nd Season,7.91,170880,641,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
14349,Little Witch Academia,7.91,224526,470,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4898,Kuroshitsuji,7.91,684593,71,1,Mainstream / High Engagement,High members and concentrated popularity
249,InuYasha (TV),7.91,456015,164,1,Mainstream / High Engagement,High members and concentrated popularity
12893,Danshi Koukousei no Nichijou Specials,7.91,84559,1290,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8142,Colorful (Movie),7.91,112488,1003,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
532,Bishoujo Senshi Sailor Moon S,7.91,93615,1163,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
21185,Baby Steps,7.91,102172,1083,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
890,Yuusha-Ou GaoGaiGar,7.92,14623,3700,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
543,Vampire Hunter D (2000),7.92,106472,1043,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
949,Top wo Nerae! Gunbuster,7.92,84962,1283,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34504,Seitokai Yakuindomo Movie,7.92,30503,2553,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1729,Maria-sama ga Miteru 3rd,7.92,16501,3506,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8310,Magic Kaito,7.92,46449,1991,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35075,Hoozuki no Reitetsu 2nd Season,7.92,28922,2629,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35678,Hibike! Euphonium Movie 3: Chikai no Finale,7.92,22945,2993,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
15809,Hataraku Maou-sama!,7.92,808817,55,1,Mainstream / High Engagement,High members and concentrated popularity
35111,Haikyuu!! Movie 4: Concept no Tatakai,7.92,18547,3333,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,7.92,12856,3905,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,7.92,33563,2402,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23225,Yuru Yuri Nachuyachumi!,7.93,51557,1863,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
17909,Uchouten Kazoku,7.93,120682,936,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10521,Working'!!,7.93,187178,576,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
22319,Tokyo Ghoul,7.93,1346036,6,1,Mainstream / High Engagement,High members and concentrated popularity
400,Seihou Bukyou Outlaw Star,7.93,109861,1016,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9088,Saiyuuki Gaiden,7.93,9958,4352,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33190,Planetarian: Hoshi no Hito,7.93,28769,2636,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
20,Naruto,7.93,1280914,9,1,Mainstream / High Engagement,High members and concentrated popularity
33221,Mobile Suit Gundam Thunderbolt: December Sky,7.93,11564,4091,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
22097,Magi: Sinbad no Bouken,7.93,85390,1281,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.93,25506,2808,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2890,Gake no Ue no Ponyo,7.93,255185,388,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6702,Fairy Tail,7.93,1025353,21,1,Mainstream / High Engagement,High members and concentrated popularity
2035,Eikoku Koi Monogatari Emma: Molders-hen,7.93,17846,3375,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.93,191025,567,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6377,Zan Sayonara Zetsubou Sensei,7.94,77045,1391,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1485,Akachan to Boku,7.93,14014,3772,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4163,Seto no Hanayome OVA,7.94,41807,2115,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2143,Saiyuuki Reload: Burial,7.94,10169,4309,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.94,122036,923,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
25517,Magic Kaito 1412,7.94,77076,1394,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
27947,Lupin III (2015),7.94,39165,2227,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1695,Les Misérables: Shoujo Cosette,7.94,16991,3462,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
187,Initial D Third Stage,7.94,84283,1293,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
14175,Hanasaku Iroha: Home Sweet Home,7.94,57037,1727,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
24471,Hoozuki no Reitetsu OVA,7.94,12439,3956,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35110,Haikyuu!! Movie 3: Sainou to Sense,7.94,20748,3148,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35120,Devilman: Crybaby,7.94,358644,261,1,Mainstream / High Engagement,High members and concentrated popularity
779,Detective Conan Movie 01: The Timed Skyscraper,7.94,44894,2036,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10012,Carnival Phantasm,7.94,124951,901,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2605,Sayonara Zetsubou Sensei,7.95,247015,407,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31973,Mobile Suit Gundam Thunderbolt,7.95,32861,2441,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.95,25817,2786,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3572,Macross F,7.95,119449,941,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4280,Kara no Kyoukai 4: Garan no Dou,7.95,148452,744,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.95,11574,4075,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5781,Isekai no Seikishi Monogatari,7.95,130797,860,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10029,Coquelicot-zaka kara,7.95,87741,1230,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
38250,Xiao Lu He Xiao Lan,7.96,2148,7834,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
16916,Kuroko no Basket: Tip Off,7.96,64337,1584,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7062,Hidamari Sketch x ☆☆☆,7.96,21147,3102,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
