cluster,cluster_label,title,members,score,popularity
0,Long-tail / Lower Engagement,Shingeki no Kyojin Season 3,608172,8.49,93
0,Long-tail / Lower Engagement,Tonari no Kaibutsu-kun,591503,7.65,95
0,Long-tail / Lower Engagement,Shokugeki no Souma: Ni no Sara,562262,8.38,107
0,Long-tail / Lower Engagement,Fairy Tail (2014),537817,7.97,115
0,Long-tail / Lower Engagement,Tonari no Totoro,528128,8.42,120
1,Mainstream / High Engagement,Death Note,1871043,8.65,1
1,Mainstream / High Engagement,Shingeki no Kyojin,1754979,8.47,2
1,Mainstream / High Engagement,Sword Art Online,1657823,7.49,3
1,Mainstream / High Engagement,Fullmetal Alchemist: Brotherhood,1615084,9.23,4
1,Mainstream / High Engagement,One Punch Man,1475219,8.68,5
